新闻ID,文本,标签
1,1550 1650 102 771 2764 2645 176 2768 1466 1491 1661 229 2842,3
2,204 2192 681 2558 2427 2664 1775 766 1548 417 1437 2454 1978 173 2146 1688 2666 1494 1442 1895 1775 259 1546 1680 1978 2757 2569 601 1360 2192,3
3,336 1179 445 681 2558 2427 2664 2550 1533 1360 1947 2027 2108 1491 1007 1655 1978 173 1564 2399 102 535 210 1713 771 2677 319,3
4,134 1533 1431 422 1866 102 1978 2438 210 412 771 1491 758 2140 2663 517 1255 1661 2371 802 537 1194 1538 2525 102,1
5,1618 1298 835 2706 1501 1501 618 2832 2810 2532 1299 1112 758 2092 218 1255 2558 534 2155 1208 417 379 2373 1912 1935 590 160 1978 173 1360 1947 296 2390,1
6,1025 2275 681 2749 2508 1609 914 2392 987 874 2477 2564 2450 2041 894 2578 1843,3
7,174 1249 2324 2574 2660 535 509 174 2714 1285 1333 526 1669 574 766 1548 692 1031 2785,1
8,2140 2663 2546 1360 1592 681 417 2189 869 2419 2788 1151 1576 2757 2569 2801 1245 1679 318 2224 1245 1679 2832 338,4
9,1041 2584 1194 2449 102 318 102 1291 1929 2275 1278 1278 2141 655 1531 267 1843 2064 2671 463,1
10,2234 539 2810 2558 620 2584 1680 373 1334 2386 1491 1775 2428 630 554 2394 758 2660 1985 2660 1731 2840 1255,4
11,1442 1723 215 2823 371 417 1223 2558 1554 213 234 2371 1140 1185 1249 1178 2578 619 1843,1
12,1585 1251 1950 1500 2275 641 2731 667 417 102 1984 797 2706 2314 302,1
13,2642 2706 1335 1665 106 745 2275 1491 681 2558 1935 1827 2018 1751 1033 2821,3
14,2345 240 1533 1936 1267 2079 1965 424 1193 1491 2422 385 422 2808 1662 2392 1843,3
15,1269 2820 1494 1442 313 2795 370 2299 776 490 347 2754 1269 2820 2067 2583 2346 1003 1360 1947,1
16,1025 2275 534 2275 2213 894 2578 1843 1978 173 2196 175 2639 987 472 1269 1458 1950 1249 618 2832 1491 1544 1163 1877 894 2578 1843,3
17,2275 1867 968 2205 1193 570 1494 2213 311,3
18,940 2512 1985 1978 1491 1161 858 1661 2510 1409,3
19,436 1392 358 2392 2832 758 655 573 2228 1255 509 1409 1491 2677 2140 2335 1812 2546 535 1700 1947 1437 2392 1023 1487 674,3
20,1649 2765 558 1805 2639 1350 1126 596 1285 1775 2532 1595 258 1704 2508 1491 2677 2275 587 1475 1404 259 2213 1843,3
21,758 570 2140 327 2372 2196 1661 1502 1251 707 1731 2810 1298 1255 410 175 102 1491 512 2275 2275 2180 2422 1212 1695,3
22,1203 1866 1618 2706 2027 1641 2274 635 570 2140 2275 1978 1491 102 132 1781 102 1943 1535,1
